flight_id,date,terminal,aircraft_type,arrival_time,departure_time,turnaround_time_min,delay_minutes,total_workload_minutes,risk_flag
FL000039,01/01/2024,T3,Narrow Body,12:14:00 AM,12:58:00 AM,44,5,489,Normal
FL000040,01/01/2024,T2,Narrow Body,2:18:00 AM,2:57:00 AM,39,5,552,Normal
FL000041,01/01/2024,T2,Narrow Body,9:30:00 AM,11:30:00 AM,120,0,397,Normal
FL000042,01/01/2024,T2,Narrow Body,7:29:00 PM,9:17:00 PM,108,30,313,High Risk
FL000043,01/01/2024,T1,Narrow Body,1:53:00 PM,2:52:00 PM,59,20,519,High Risk
FL000044,01/01/2024,T2,Wide Body,12:05:00 PM,1:34:00 PM,89,0,369,Normal
FL000045,01/01/2024,T3,Narrow Body,10:59:00 PM,12:57:00 AM,118,0,551,Normal
FL000046,01/01/2024,T2,Narrow Body,1:44:00 PM,3:52:00 PM,128,5,273,Normal
FL000047,01/01/2024,T3,Wide Body,6:32:00 AM,7:31:00 AM,59,0,441,Normal
FL000048,01/01/2024,T2,Wide Body,2:24:00 PM,3:22:00 PM,58,5,465,Normal
FL000049,01/01/2024,T3,Narrow Body,2:34:00 AM,4:05:00 AM,91,0,458,Normal
FL000050,01/01/2024,T1,Narrow Body,10:15:00 PM,11:59:00 PM,104,5,718,Normal
FL000051,01/01/2024,T2,Wide Body,5:40:00 AM,7:07:00 AM,87,5,370,Normal
FL000052,01/01/2024,T1,Wide Body,1:41:00 PM,2:23:00 PM,42,0,779,Normal
FL000053,01/01/2024,T2,Wide Body,1:19:00 PM,2:27:00 PM,68,20,514,High Risk
FL000054,01/01/2024,T3,Wide Body,11:46:00 PM,1:54:00 AM,128,0,629,Normal
FL000055,01/01/2024,T1,Narrow Body,6:28:00 AM,7:40:00 AM,72,0,389,Normal
FL000056,01/01/2024,T1,Wide Body,10:42:00 AM,11:24:00 AM,42,0,540,Normal
FL000057,01/01/2024,T1,Narrow Body,1:56:00 AM,3:36:00 AM,100,0,788,Normal
FL000058,01/01/2024,T3,Narrow Body,8:18:00 PM,9:01:00 PM,43,20,353,High Risk
FL000059,01/01/2024,T1,Narrow Body,4:05:00 AM,5:52:00 AM,107,0,493,Normal
FL000060,01/01/2024,T3,Wide Body,2:18:00 PM,4:17:00 PM,119,10,554,Normal
FL000061,01/01/2024,T3,Wide Body,6:58:00 AM,8:58:00 AM,120,5,742,Normal
FL000062,01/01/2024,T1,Wide Body,9:03:00 AM,10:28:00 AM,85,30,222,High Risk
FL000063,01/01/2024,T1,Narrow Body,10:47:00 AM,12:58:00 PM,131,30,556,High Risk
FL000064,01/01/2024,T1,Narrow Body,9:12:00 PM,10:59:00 PM,107,5,469,Normal
FL000065,01/01/2024,T1,Wide Body,5:16:00 PM,6:24:00 PM,68,0,502,Normal
FL000066,01/01/2024,T2,Narrow Body,8:20:00 AM,9:42:00 AM,82,30,361,High Risk
FL000067,01/01/2024,T2,Narrow Body,6:32:00 PM,8:37:00 PM,125,10,603,Normal
FL000068,01/01/2024,T1,Wide Body,10:38:00 PM,11:26:00 PM,48,0,837,Normal
FL000069,01/01/2024,T3,Narrow Body,3:39:00 AM,5:49:00 AM,130,10,591,Normal
FL000070,01/01/2024,T1,Wide Body,9:37:00 AM,11:29:00 AM,112,5,760,Normal
FL000071,01/01/2024,T2,Wide Body,11:27:00 PM,1:23:00 AM,116,10,342,Normal
FL000072,01/01/2024,T3,Wide Body,1:44:00 AM,2:30:00 AM,46,10,768,Normal
FL000073,01/01/2024,T2,Narrow Body,1:30:00 AM,2:05:00 AM,35,10,389,Normal
FL000074,01/01/2024,T2,Wide Body,5:30:00 AM,7:39:00 AM,129,0,417,Normal
FL000075,01/01/2024,T3,Narrow Body,3:49:00 AM,4:33:00 AM,44,0,623,Normal
FL000076,01/01/2024,T3,Narrow Body,12:36:00 PM,2:25:00 PM,109,20,502,High Risk
FL000077,01/01/2024,T2,Wide Body,4:21:00 AM,5:01:00 AM,40,0,575,Normal
FL000078,01/01/2024,T3,Narrow Body,12:12:00 PM,1:13:00 PM,61,0,516,Normal
FL000079,01/01/2024,T3,Wide Body,12:04:00 PM,2:18:00 PM,134,0,489,Normal
FL000080,01/01/2024,T1,Wide Body,8:04:00 AM,8:59:00 AM,55,0,960,Normal
FL000081,01/01/2024,T2,Wide Body,6:07:00 AM,8:16:00 AM,129,5,479,Normal
FL000082,01/01/2024,T3,Narrow Body,9:06:00 AM,10:01:00 AM,55,20,493,High Risk
FL000083,01/01/2024,T1,Narrow Body,1:19:00 AM,2:54:00 AM,95,30,789,High Risk
FL000084,01/01/2024,T1,Narrow Body,11:56:00 AM,1:10:00 PM,74,0,412,Normal
FL000085,01/01/2024,T2,Wide Body,10:31:00 PM,11:30:00 PM,59,10,566,Normal
FL000086,01/01/2024,T2,Wide Body,2:22:00 AM,4:35:00 AM,133,20,864,High Risk
FL000087,01/01/2024,T2,Narrow Body,11:11:00 PM,12:54:00 AM,103,0,700,Normal
FL000088,01/01/2024,T3,Wide Body,8:54:00 AM,9:51:00 AM,57,0,666,Normal
FL000089,01/01/2024,T2,Wide Body,3:42:00 AM,5:33:00 AM,111,15,439,Normal
FL000090,01/01/2024,T3,Narrow Body,2:53:00 PM,4:45:00 PM,112,20,664,High Risk
FL000091,01/01/2024,T2,Narrow Body,7:40:00 PM,8:39:00 PM,59,20,698,High Risk
FL000092,01/01/2024,T3,Narrow Body,12:03:00 AM,1:44:00 AM,101,15,412,Normal
FL000093,01/01/2024,T3,Wide Body,2:43:00 PM,3:26:00 PM,43,15,806,Normal
FL000094,01/01/2024,T3,Wide Body,10:38:00 PM,11:28:00 PM,50,10,563,Normal
FL000095,01/01/2024,T2,Wide Body,10:45:00 PM,12:12:00 AM,87,10,344,Normal
FL000096,01/01/2024,T1,Wide Body,6:55:00 PM,7:46:00 PM,51,20,509,High Risk
FL000097,01/01/2024,T1,Wide Body,11:07:00 PM,1:17:00 AM,130,20,251,High Risk
FL000098,01/01/2024,T2,Wide Body,6:42:00 PM,7:17:00 PM,35,5,663,Normal
FL000099,01/01/2024,T3,Wide Body,2:40:00 PM,4:55:00 PM,135,30,434,High Risk
FL000100,01/01/2024,T3,Narrow Body,3:04:00 PM,4:35:00 PM,91,30,655,High Risk
FL000101,01/01/2024,T1,Wide Body,5:47:00 AM,7:46:00 AM,119,15,422,Normal
FL000102,01/01/2024,T1,Wide Body,3:11:00 AM,5:30:00 AM,139,5,949,Normal
FL000103,01/01/2024,T1,Narrow Body,6:47:00 AM,7:40:00 AM,53,5,650,Normal
FL000104,01/01/2024,T1,Wide Body,4:13:00 PM,6:06:00 PM,113,20,922,High Risk
FL000105,01/01/2024,T1,Wide Body,9:29:00 PM,11:17:00 PM,108,30,1151,High Risk
FL000106,01/01/2024,T1,Narrow Body,1:38:00 PM,2:44:00 PM,66,0,675,Normal
FL000107,01/01/2024,T1,Wide Body,2:30:00 PM,3:33:00 PM,63,0,664,Normal
FL000108,01/01/2024,T1,Wide Body,7:01:00 PM,8:07:00 PM,66,0,578,Normal
FL000109,01/01/2024,T3,Wide Body,3:51:00 PM,5:51:00 PM,120,30,647,High Risk
FL000110,01/01/2024,T3,Wide Body,8:54:00 PM,11:13:00 PM,139,30,363,High Risk
FL000111,01/01/2024,T2,Wide Body,5:25:00 AM,7:35:00 AM,130,10,429,Normal
FL000112,01/01/2024,T2,Wide Body,8:26:00 AM,10:22:00 AM,116,5,506,Normal
FL000113,01/01/2024,T1,Wide Body,9:22:00 AM,10:53:00 AM,91,5,590,Normal
FL000114,01/01/2024,T2,Narrow Body,9:16:00 AM,10:33:00 AM,77,0,597,Normal
FL000115,01/01/2024,T2,Narrow Body,5:08:00 AM,6:12:00 AM,64,5,358,Normal
FL000116,01/01/2024,T2,Wide Body,2:11:00 AM,3:39:00 AM,88,30,689,High Risk
FL000117,01/01/2024,T1,Wide Body,2:11:00 PM,2:53:00 PM,42,20,491,High Risk
FL000118,01/01/2024,T1,Wide Body,7:56:00 PM,10:00:00 PM,124,30,538,High Risk
FL000119,01/01/2024,T2,Wide Body,12:12:00 AM,1:32:00 AM,80,20,458,High Risk
FL000120,01/01/2024,T3,Narrow Body,6:22:00 PM,8:32:00 PM,130,30,515,High Risk
FL000121,01/01/2024,T2,Wide Body,7:29:00 AM,8:38:00 AM,69,0,138,Normal
FL000122,01/01/2024,T3,Wide Body,1:16:00 PM,2:34:00 PM,78,0,411,Normal
FL000123,01/01/2024,T3,Narrow Body,3:57:00 PM,4:48:00 PM,51,20,340,High Risk
FL000124,01/01/2024,T3,Narrow Body,8:12:00 PM,9:59:00 PM,107,0,561,Normal
FL000125,01/01/2024,T1,Wide Body,9:56:00 PM,11:25:00 PM,89,0,796,Normal
FL000126,01/01/2024,T2,Wide Body,1:42:00 AM,2:50:00 AM,68,5,412,Normal
FL000127,01/01/2024,T2,Wide Body,3:31:00 PM,4:47:00 PM,76,10,215,Normal
FL000128,01/01/2024,T1,Wide Body,2:23:00 PM,3:30:00 PM,67,0,558,Normal
FL000129,01/01/2024,T2,Narrow Body,6:24:00 PM,7:05:00 PM,41,0,513,Normal
FL000130,01/01/2024,T1,Narrow Body,10:14:00 PM,10:54:00 PM,40,5,599,Normal
FL000131,01/01/2024,T1,Narrow Body,12:41:00 AM,2:35:00 AM,114,0,718,Normal
FL000132,01/01/2024,T1,Narrow Body,4:09:00 PM,6:09:00 PM,120,30,624,High Risk
FL000133,01/01/2024,T2,Narrow Body,11:52:00 PM,12:59:00 AM,67,0,731,Normal
FL000134,01/01/2024,T1,Narrow Body,5:35:00 AM,6:49:00 AM,74,10,486,Normal
FL000135,01/01/2024,T2,Wide Body,7:39:00 PM,9:40:00 PM,121,5,666,Normal
FL000136,01/01/2024,T3,Narrow Body,2:35:00 AM,4:25:00 AM,110,0,401,Normal
FL000137,01/01/2024,T2,Narrow Body,11:47:00 PM,2:00:00 AM,133,0,515,Normal
FL000138,01/01/2024,T2,Wide Body,11:51:00 AM,1:34:00 PM,103,0,706,Normal
FL000139,01/01/2024,T2,Narrow Body,5:16:00 PM,7:13:00 PM,117,20,673,High Risk
FL000140,01/01/2024,T2,Wide Body,4:43:00 PM,5:31:00 PM,48,30,696,High Risk
FL000141,01/01/2024,T1,Wide Body,5:13:00 AM,6:43:00 AM,90,30,218,High Risk
FL000142,01/01/2024,T3,Wide Body,3:52:00 PM,5:22:00 PM,90,15,335,Normal
FL000143,01/01/2024,T2,Wide Body,8:22:00 AM,9:08:00 AM,46,5,608,Normal
FL000144,01/01/2024,T3,Wide Body,3:51:00 PM,5:38:00 PM,107,15,496,Normal
FL000145,01/01/2024,T2,Narrow Body,12:58:00 AM,2:36:00 AM,98,30,464,High Risk
FL000146,01/01/2024,T2,Wide Body,7:14:00 AM,8:34:00 AM,80,10,571,Normal
FL000147,01/01/2024,T2,Narrow Body,8:20:00 PM,10:24:00 PM,124,5,783,Normal
FL000148,01/01/2024,T3,Wide Body,2:55:00 AM,4:00:00 AM,65,30,797,High Risk
FL000149,01/01/2024,T1,Wide Body,6:57:00 PM,9:09:00 PM,132,30,504,High Risk
FL000150,01/01/2024,T1,Narrow Body,3:17:00 PM,5:33:00 PM,136,10,327,Normal
FL000151,01/01/2024,T3,Narrow Body,7:33:00 AM,8:59:00 AM,86,10,512,Normal
FL000152,01/01/2024,T2,Wide Body,10:39:00 PM,12:28:00 AM,109,15,387,Normal
FL000153,01/01/2024,T3,Wide Body,2:31:00 PM,4:41:00 PM,130,15,724,Normal
FL000154,01/01/2024,T2,Wide Body,11:59:00 PM,1:32:00 AM,93,10,444,Normal
FL000155,01/01/2024,T3,Narrow Body,7:52:00 AM,8:42:00 AM,50,15,395,Normal
FL000156,01/01/2024,T3,Narrow Body,4:04:00 AM,6:14:00 AM,130,5,402,Normal
FL000157,01/01/2024,T2,Wide Body,7:23:00 AM,9:32:00 AM,129,10,453,Normal
FL000158,01/01/2024,T2,Narrow Body,3:25:00 AM,4:24:00 AM,59,15,831,Normal
FL000159,01/01/2024,T1,Narrow Body,6:07:00 AM,7:20:00 AM,73,10,405,Normal
FL000160,01/01/2024,T3,Wide Body,1:33:00 AM,2:14:00 AM,41,0,545,Normal
FL000161,01/01/2024,T2,Narrow Body,9:46:00 PM,11:57:00 PM,131,0,463,Normal
FL000162,01/01/2024,T2,Wide Body,7:35:00 PM,8:46:00 PM,71,30,409,High Risk
FL000163,01/01/2024,T1,Wide Body,11:37:00 AM,12:35:00 PM,58,30,812,High Risk
FL000164,01/01/2024,T1,Wide Body,3:53:00 AM,6:13:00 AM,140,30,171,High Risk
FL000165,01/01/2024,T3,Narrow Body,2:31:00 AM,4:19:00 AM,108,0,717,Normal
FL000166,01/01/2024,T3,Wide Body,5:05:00 AM,7:23:00 AM,138,0,158,Normal
FL000167,01/01/2024,T3,Wide Body,8:28:00 AM,9:18:00 AM,50,5,674,Normal
FL000168,01/01/2024,T2,Wide Body,5:50:00 PM,7:13:00 PM,83,10,549,Normal
FL000169,01/01/2024,T2,Narrow Body,8:05:00 PM,9:34:00 PM,89,0,1000,Normal
FL000170,01/01/2024,T1,Wide Body,7:05:00 AM,9:00:00 AM,115,0,511,Normal
FL000171,01/01/2024,T1,Narrow Body,5:21:00 AM,6:26:00 AM,65,0,341,Normal
FL000172,01/01/2024,T2,Wide Body,12:05:00 AM,1:32:00 AM,87,10,424,Normal
FL000173,01/01/2024,T2,Wide Body,1:06:00 AM,2:10:00 AM,64,30,211,High Risk
FL000174,01/01/2024,T1,Wide Body,2:25:00 AM,4:27:00 AM,122,5,739,Normal
FL000175,01/01/2024,T3,Narrow Body,2:30:00 PM,3:19:00 PM,49,0,385,Normal
FL000176,01/01/2024,T1,Narrow Body,9:04:00 AM,11:24:00 AM,140,0,570,Normal
FL000177,01/01/2024,T2,Wide Body,5:39:00 AM,7:55:00 AM,136,30,574,High Risk
FL000178,01/01/2024,T3,Wide Body,4:14:00 AM,5:48:00 AM,94,20,305,High Risk
FL000179,01/01/2024,T3,Wide Body,9:17:00 AM,10:56:00 AM,99,30,810,High Risk
FL000180,01/01/2024,T1,Wide Body,2:44:00 AM,4:35:00 AM,111,15,328,Normal
FL000181,01/01/2024,T1,Narrow Body,8:36:00 PM,9:43:00 PM,67,5,535,Normal
FL000182,01/01/2024,T3,Narrow Body,11:00:00 PM,12:48:00 AM,108,10,778,Normal
FL000183,01/01/2024,T1,Wide Body,7:40:00 PM,8:20:00 PM,40,30,749,High Risk
FL000184,01/01/2024,T3,Wide Body,9:29:00 AM,10:27:00 AM,58,30,548,High Risk
FL000185,01/01/2024,T2,Wide Body,3:06:00 AM,4:41:00 AM,95,15,552,Normal
FL000186,01/01/2024,T1,Narrow Body,10:57:00 AM,12:57:00 PM,120,15,465,Normal
FL000187,01/01/2024,T2,Wide Body,2:03:00 PM,4:06:00 PM,123,20,352,High Risk
FL000188,01/01/2024,T2,Narrow Body,6:46:00 PM,7:25:00 PM,39,15,562,Normal
FL000189,01/01/2024,T1,Wide Body,8:36:00 AM,9:52:00 AM,76,0,572,Normal
FL000190,01/01/2024,T2,Wide Body,10:26:00 PM,12:10:00 AM,104,0,535,Normal
FL000191,01/01/2024,T2,Wide Body,6:24:00 AM,8:05:00 AM,101,30,637,High Risk
FL000192,01/01/2024,T2,Narrow Body,1:45:00 AM,2:46:00 AM,61,10,619,Normal
FL000193,01/01/2024,T2,Narrow Body,2:57:00 PM,5:01:00 PM,124,0,270,Normal
FL000194,01/01/2024,T1,Narrow Body,9:30:00 PM,11:22:00 PM,112,10,266,Normal
FL000195,01/01/2024,T3,Wide Body,6:48:00 PM,7:24:00 PM,36,0,555,Normal
FL000196,01/01/2024,T2,Narrow Body,7:40:00 AM,8:29:00 AM,49,0,403,Normal
FL000197,01/01/2024,T2,Wide Body,5:00:00 PM,7:06:00 PM,126,20,590,High Risk
FL000198,01/01/2024,T1,Wide Body,4:28:00 PM,6:03:00 PM,95,0,646,Normal
FL000199,01/01/2024,T3,Narrow Body,1:05:00 PM,2:04:00 PM,59,0,429,Normal
FL000200,01/01/2024,T2,Wide Body,9:25:00 AM,11:38:00 AM,133,10,704,Normal
FL000201,01/01/2024,T3,Wide Body,12:05:00 AM,1:16:00 AM,71,30,651,High Risk
FL000202,01/01/2024,T3,Wide Body,5:04:00 AM,6:36:00 AM,92,15,388,Normal
FL000203,01/01/2024,T3,Wide Body,11:20:00 AM,1:05:00 PM,105,30,618,High Risk
FL000204,01/01/2024,T3,Narrow Body,10:59:00 AM,11:58:00 AM,59,20,630,High Risk
FL000205,01/01/2024,T2,Narrow Body,7:58:00 AM,10:12:00 AM,134,15,547,Normal
FL000206,01/01/2024,T2,Wide Body,4:08:00 PM,6:13:00 PM,125,0,309,Normal
FL000207,01/01/2024,T1,Wide Body,4:54:00 PM,5:33:00 PM,39,0,563,Normal
FL000208,01/01/2024,T3,Wide Body,3:01:00 PM,3:48:00 PM,47,0,524,Normal
FL000209,01/01/2024,T3,Narrow Body,4:55:00 AM,6:22:00 AM,87,0,700,Normal
FL000210,01/01/2024,T2,Wide Body,4:01:00 PM,6:16:00 PM,135,20,445,High Risk
FL000211,01/01/2024,T2,Wide Body,10:10:00 PM,10:55:00 PM,45,15,580,Normal
FL000212,01/01/2024,T2,Narrow Body,9:23:00 PM,11:29:00 PM,126,0,891,Normal
FL000213,01/01/2024,T3,Wide Body,8:00:00 AM,9:55:00 AM,115,5,430,Normal
FL000214,01/01/2024,T1,Narrow Body,3:05:00 AM,4:35:00 AM,90,30,573,High Risk
FL000215,01/01/2024,T2,Narrow Body,5:40:00 AM,7:43:00 AM,123,0,444,Normal
FL000216,01/01/2024,T1,Wide Body,11:04:00 AM,1:20:00 PM,136,15,567,Normal
FL000217,01/01/2024,T1,Narrow Body,12:47:00 PM,2:17:00 PM,90,20,501,High Risk
FL000218,01/01/2024,T1,Narrow Body,7:19:00 PM,9:21:00 PM,122,0,428,Normal
FL000219,01/01/2024,T2,Narrow Body,2:41:00 AM,4:34:00 AM,113,30,627,High Risk
FL000220,01/01/2024,T1,Wide Body,7:54:00 PM,8:47:00 PM,53,10,435,Normal
FL000221,01/01/2024,T3,Narrow Body,3:41:00 PM,4:48:00 PM,67,30,217,High Risk
FL000222,01/01/2024,T3,Narrow Body,9:49:00 AM,11:50:00 AM,121,0,328,Normal
FL000223,01/01/2024,T3,Wide Body,3:04:00 PM,4:23:00 PM,79,20,508,High Risk
FL000224,01/01/2024,T2,Wide Body,11:33:00 PM,12:40:00 AM,67,5,658,Normal
FL000225,01/01/2024,T1,Narrow Body,1:07:00 PM,2:43:00 PM,96,20,681,High Risk
FL000226,01/01/2024,T3,Wide Body,7:31:00 PM,8:51:00 PM,80,10,689,Normal
FL000227,01/01/2024,T2,Wide Body,12:44:00 AM,2:43:00 AM,119,0,408,Normal
FL000228,01/01/2024,T3,Narrow Body,7:19:00 PM,9:21:00 PM,122,30,405,High Risk
FL000229,01/01/2024,T1,Wide Body,9:46:00 AM,12:00:00 PM,134,5,728,Normal
FL000230,01/01/2024,T3,Wide Body,9:43:00 PM,10:42:00 PM,59,0,437,Normal
FL000231,01/01/2024,T3,Narrow Body,9:26:00 PM,10:13:00 PM,47,10,804,Normal
FL000232,01/01/2024,T3,Wide Body,3:02:00 PM,3:41:00 PM,39,0,347,Normal
FL000233,01/01/2024,T2,Wide Body,3:04:00 AM,4:16:00 AM,72,0,628,Normal
FL000234,01/01/2024,T3,Wide Body,6:51:00 AM,7:42:00 AM,51,10,370,Normal
FL000235,01/01/2024,T2,Wide Body,5:36:00 AM,6:43:00 AM,67,15,810,Normal
FL000236,01/01/2024,T1,Narrow Body,3:55:00 AM,5:29:00 AM,94,5,524,Normal
FL000237,01/01/2024,T3,Wide Body,11:05:00 PM,1:12:00 AM,127,15,625,Normal
FL000238,01/01/2024,T2,Narrow Body,3:04:00 AM,5:20:00 AM,136,10,840,Normal
FL000239,01/01/2024,T2,Wide Body,6:18:00 PM,7:08:00 PM,50,10,449,Normal
FL000240,01/01/2024,T3,Wide Body,7:57:00 PM,9:20:00 PM,83,0,700,Normal
FL000241,01/01/2024,T2,Narrow Body,11:02:00 PM,12:06:00 AM,64,15,564,Normal
FL000242,01/01/2024,T3,Narrow Body,8:49:00 PM,9:52:00 PM,63,30,573,High Risk
FL000243,01/01/2024,T3,Wide Body,11:55:00 PM,1:08:00 AM,73,0,307,Normal
FL000244,01/01/2024,T1,Wide Body,4:46:00 AM,5:26:00 AM,40,30,363,High Risk
FL000245,01/01/2024,T1,Narrow Body,3:57:00 AM,4:44:00 AM,47,20,730,High Risk
FL000246,01/01/2024,T3,Wide Body,3:29:00 PM,4:51:00 PM,82,0,576,Normal
FL000247,01/01/2024,T1,Wide Body,2:09:00 PM,4:07:00 PM,118,20,549,High Risk
FL000248,01/01/2024,T3,Wide Body,9:32:00 AM,10:11:00 AM,39,5,442,Normal
FL000249,01/01/2024,T1,Wide Body,3:08:00 PM,4:39:00 PM,91,0,326,Normal
FL000250,01/01/2024,T3,Wide Body,11:24:00 PM,12:46:00 AM,82,0,630,Normal
FL000251,01/01/2024,T1,Narrow Body,1:35:00 PM,2:45:00 PM,70,30,750,High Risk
FL000252,01/01/2024,T1,Narrow Body,3:07:00 AM,5:06:00 AM,119,0,773,Normal
FL000253,01/01/2024,T1,Narrow Body,11:23:00 AM,12:29:00 PM,66,0,888,Normal
FL000254,01/01/2024,T3,Narrow Body,6:55:00 PM,7:56:00 PM,61,5,340,Normal
FL000255,01/01/2024,T1,Narrow Body,11:12:00 AM,1:26:00 PM,134,10,279,Normal
FL000256,01/01/2024,T3,Wide Body,4:56:00 AM,5:47:00 AM,51,0,855,Normal
FL000257,01/01/2024,T1,Narrow Body,3:45:00 AM,5:44:00 AM,119,0,437,Normal
FL000258,01/01/2024,T1,Wide Body,12:13:00 PM,2:29:00 PM,136,0,708,Normal
FL000259,01/01/2024,T1,Narrow Body,5:56:00 AM,7:04:00 AM,68,20,732,High Risk
FL000260,01/01/2024,T3,Narrow Body,5:57:00 PM,6:46:00 PM,49,30,746,High Risk
FL000261,01/01/2024,T2,Narrow Body,3:18:00 PM,5:32:00 PM,134,30,446,High Risk
FL000262,01/01/2024,T3,Narrow Body,5:11:00 PM,6:14:00 PM,63,10,443,Normal
FL000263,01/01/2024,T1,Narrow Body,3:38:00 PM,5:35:00 PM,117,30,662,High Risk
FL000264,01/01/2024,T3,Narrow Body,1:42:00 PM,3:11:00 PM,89,30,803,High Risk
FL000265,01/01/2024,T1,Wide Body,3:08:00 PM,3:52:00 PM,44,0,892,Normal
FL000266,01/01/2024,T2,Wide Body,2:14:00 AM,3:05:00 AM,51,20,463,High Risk
FL000267,01/01/2024,T2,Wide Body,8:23:00 PM,10:05:00 PM,102,20,621,High Risk
FL000268,01/01/2024,T3,Narrow Body,3:23:00 AM,5:39:00 AM,136,5,458,Normal
FL000269,01/01/2024,T1,Wide Body,2:40:00 PM,4:12:00 PM,92,15,436,Normal
FL000270,01/01/2024,T2,Narrow Body,3:28:00 PM,4:54:00 PM,86,15,344,Normal
FL000271,01/01/2024,T3,Wide Body,2:34:00 PM,3:49:00 PM,75,15,801,Normal
FL000272,01/01/2024,T2,Narrow Body,5:12:00 AM,7:14:00 AM,122,0,710,Normal
FL000273,01/01/2024,T2,Narrow Body,2:54:00 AM,3:40:00 AM,46,15,441,Normal
FL000274,01/01/2024,T1,Wide Body,4:26:00 AM,6:12:00 AM,106,0,489,Normal
FL000275,01/01/2024,T3,Wide Body,2:01:00 PM,3:21:00 PM,80,0,555,Normal
FL000276,01/01/2024,T2,Wide Body,9:49:00 AM,11:40:00 AM,111,0,255,Normal
FL000277,01/01/2024,T1,Narrow Body,7:43:00 PM,9:22:00 PM,99,30,719,High Risk
FL000278,01/01/2024,T2,Wide Body,7:39:00 AM,8:27:00 AM,48,0,386,Normal
FL000279,01/01/2024,T1,Wide Body,9:30:00 AM,11:18:00 AM,108,0,542,Normal
